"Origem","Destino","Status"
"C:\Users\mauri\HD_Mau\01 - Jurídico\Despachos e votos\relatorio Adilson da Silva X ECT.doc","C:\Users\mauri\HD_Mau\01 - Jurídico\Despachos e votos\relatorio Adilson da Silva X ECT.docx","OK"
"C:\Users\mauri\HD_Mau\01 - Jurídico\Modelos e minutas\modelo basico de divorcio direto com partilha postergada.doc","C:\Users\mauri\HD_Mau\01 - Jurídico\Modelos e minutas\modelo basico de divorcio direto com partilha postergada.docx","OK"
"C:\Users\mauri\HD_Mau\01 - Jurídico\Outros processuais\Alargamento_da_Base_de_Calculo_de_Pis_e_Cofins-28_10_2014.doc","C:\Users\mauri\HD_Mau\01 - Jurídico\Outros processuais\Alargamento_da_Base_de_Calculo_de_Pis_e_Cofins-28_10_2014.docx","OK"
"C:\Users\mauri\HD_Mau\01 - Jurídico\Outros processuais\A_inclusão_do_icms_na_base_de_cálculo_da_cofins_3A-22_12_2011.doc","C:\Users\mauri\HD_Mau\01 - Jurídico\Outros processuais\A_inclusão_do_icms_na_base_de_cálculo_da_cofins_3A-22_12_2011.docx","OK"
"C:\Users\mauri\HD_Mau\01 - Jurídico\Outros processuais\EXCLUSÃO_DO_ICMS_DA_BASE_DE_CALCULO_DO_PIS_E_COFINS-13_11_2013.doc","C:\Users\mauri\HD_Mau\01 - Jurídico\Outros processuais\EXCLUSÃO_DO_ICMS_DA_BASE_DE_CALCULO_DO_PIS_E_COFINS-13_11_2013.docx","OK"
"C:\Users\mauri\HD_Mau\01 - Jurídico\Outros processuais\Exclusão_ICMS_Base_de_Calculo_do_PIS_2FCOFINS-31_10_2014.doc","C:\Users\mauri\HD_Mau\01 - Jurídico\Outros processuais\Exclusão_ICMS_Base_de_Calculo_do_PIS_2FCOFINS-31_10_2014.docx","OK"
"C:\Users\mauri\HD_Mau\01 - Jurídico\Outros processuais\PIS_e_COFINS_-_Alargamento_da_base_de_cálculo-29_05_2014.doc","C:\Users\mauri\HD_Mau\01 - Jurídico\Outros processuais\PIS_e_COFINS_-_Alargamento_da_base_de_cálculo-29_05_2014.docx","OK"
"C:\Users\mauri\HD_Mau\01 - Jurídico\Outros processuais\RPP 843-68.doc","C:\Users\mauri\HD_Mau\01 - Jurídico\Outros processuais\RPP 843-68.docx","OK"
"C:\Users\mauri\HD_Mau\01 - Jurídico\Recursos\ED-AgR-REspe n° 248130 -RS - ausência de omissão,desprovimento - OUT2015 - TG.doc","C:\Users\mauri\HD_Mau\01 - Jurídico\Recursos\ED-AgR-REspe n° 248130 -RS - ausência de omissão,desprovimento - OUT2015 - TG.docx","OK"
"C:\Users\mauri\HD_Mau\01 - Jurídico\Recursos\Recurso Especial - HOME CARE - GENY MEDEIROS CHIARAMONTE.doc","C:\Users\mauri\HD_Mau\01 - Jurídico\Recursos\Recurso Especial - HOME CARE - GENY MEDEIROS CHIARAMONTE.docx","OK"
"C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Monografia de Final de Curso 8 - FINAL E REVISADA SEGUNDO ORIENTAÇÕES DA PROF CRISTIANA E DO PROF ANTÔNIO ÁLVARES.doc","C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Monografia de Final de Curso 8 - FINAL E REVISADA SEGUNDO ORIENTAÇÕES DA PROF CRISTIANA E DO PROF ANTÔNIO ÁLVARES.docx","OK"
"C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Ponto Dos Concursos - Direito Administrativo - Leandro Cadenas.doc","C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Ponto Dos Concursos - Direito Administrativo - Leandro Cadenas.docx","OK"
"C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Ponto Dos Concursos - Direito Tributário - Marcelo Alexandrino.doc","C:\Users\mauri\HD_Mau\02 - Estudos e concursos\Ponto Dos Concursos - Direito Tributário - Marcelo Alexandrino.docx","OK"
"C:\Users\mauri\HD_Mau\03 - Administrativo\PC - SANDRO MARINO 2.doc","C:\Users\mauri\HD_Mau\03 - Administrativo\PC - SANDRO MARINO 2.docx","OK"
"C:\Users\mauri\HD_Mau\03 - Administrativo\Tutorial - Lync Attendee.doc","C:\Users\mauri\HD_Mau\03 - Administrativo\Tutorial - Lync Attendee.docx","OK"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\ERDE.doc","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\ERDE.docx","OK"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\FERNAND O00113953620014013800_2-1.doc","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\FERNAND O00113953620014013800_2-1.docx","OK"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\FERNANDO TELLES 200138000114136_7.doc","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\FERNANDO TELLES 200138000114136_7.docx","OK"
"C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\millenium200233000015579_7-1.doc","C:\Users\mauri\HD_Mau\05 - Diversos (a revisar)\millenium200233000015579_7-1.docx","OK"
