"Count","Name"
"115","TSE\AGEL"
"82","TSE\TEMAS SELECIONADOS"
"38","TSE\LEGISLAÇÃO TOTAL"
"30","TSE\CONSULTAS POPULARES"
"28","TSE\13.23%"
"18","TSE\NOTION"
"16","TSE\Imagens"
"15","TSE\NOVO CÓDIGO ELEITORAL"
"10","TSE\Planilha gerencial SEGJUR"
"8","TSE\Planilhas XLS"
"8","TSE\RESOLUÇÕES (Covid-19)"
"8","TSE\LICENÇA CAPACITAÇÃO"
"8","TSE\Arquivos de Chat do Microsoft Teams"
"7","TSE\ATESTADOS"
"5","TSE\Área de Trabalho"
"5","Estudos\TESE (recuperados)"
"2","TSE\Reuniões"
"1","TSE\Petição 14.129_DF.pdf"
"1","TSE\Revista Estudos Eleitorais vol. 18 nº 1 - jan jun 2024 (TSE).pdf"
"1","TSE\Servidores em teletrabalho.xls"
"1","TSE\Instruções de uso Notion - revisão de questões.docx"
"1","TSE\Revista Estudos Eleitorais nº 18 - Escola Judiciária Eleitoral.pdf"
"1","TSE\Anotações de telefones e contatos - TSE.pdf"
"1","TSE\Resolução 23513 - criação AGEL.pdf"
"1","TSE\Estatutos dos partidos políticos - ADI 6230-DF (Lei 13.831-2019) - 2022.docx"
"1","TSE\MAC_PC_TSE.txt"
"1","TSE\Matéria processual - cabimento de ação rescisória - TSE - atualizado 2025-04-24.txt"
"1","TSE\Arquivos de Chat do Microsoft Copilot"
"1","TSE\Decisoes1932_1937_com correção 9999.xlsx"
"1","TSE\Diogo (Tecnologia TSE).txt"
"1","TSE\Postos de trabalho - teletrabalho e híbrido (CEDIP, COGED, CEBLEM, COJULEG) - TSE.docx"
"1","TSE\Reforma Administrativa - versão final.pdf"
"1","TSE\Relatório Projeto Boletins Eleitorais - resgate de dados históricos (TSE).docx"
"1","TSE\Matéria_processual_converter em checkpoint e continuar.csv"
"1","TSE\Painel Gerencial SEGJUR.xlsx"
"1","TSE\PEC Reforma Administrativa - Dep. Pedro Paulo - FINAL - 2025.pdf"
